country_name,enpp
austria,3.226829268292683
belgium,NA
bulgaria,NA
cyprus,NA
czech republic,NA
denmark,NA
estonia,3.421951219512195
finland,3.868292682926829
france,3.851219512195122
germany,3.821951219512195
greece,3.4609756097560975
hungary,NA
iceland,NA
ireland,NA
italy,NA
latvia,3.7804878048780486
lithuania,NA
luxembourg,NA
malta,NA
netherlands,NA
norway,NA
poland,3.8670731707317074
portugal,3.3378048780487806
romania,NA
slovakia,NA
slovenia,NA
spain,3.2243902439024392
sweden,NA
switzerland,NA
united kingdom,NA
northern ireland,NA
