wdi_gdp_pcap,wdi_total_pop,wdi_unemployment,wdi_gdp_growth,wdi_resource_rents,wdi_oil_rents,wdi_life_expectancy,e_regionpol_6C,v2cltrnslw,country_text_id,v2xme_altinf,v2clacfree,v2clkill,v2clrspct,v2clfmove,v2clprptyw,v2svdomaut,v2xnp_regcorr,v2xpe_exlsocgr,v2csrlgrep,v2meharjrn,v2pepwrsoc,v2dlencmps,v2xel_frefair,v2elsnlsff,v2xdl_delib,v2xeg_eqdr,v2clpolcl,v2peedueq,v2peasbgen,v2smpolsoc,v2xpe_exlgender,v2clsocgrp,v2xpe_exlecon,v2cacamps,v2caassemb,v2caautmob,v2castate,v2csantimv,v2lginvstp,v2xcl_disc,v2elsuffrage,v2x_delibdem,v2xcl_rol,v2x_egaldem,v2x_elecreg,v2exrescon,v2elrsthos,v2svindep,v2x_pubcorr,v2x_execorr,v2elprescons,v2elprescumul,v2x_clphy,v2x_accountability,v2xcl_prpty,v2x_regime,v2xex_elecreg,v2x_mpi,v2strenarm,v2ex_hosw,v2peapssoc,e_regionpol,v2clacjust,v2clrelig,v2smorgviol,v2x_ex_hereditary,v2x_ex_military,v2x_ex_party,v2x_ex_direlect,v2x_ex_confidence,v2xpe_exlpol,v2meslfcen,v2x_clpriv,v2peasbegeo,v2regdur,v2x_libdem,v2cltort,v2csreprss,v2exagehos,v2xcl_dmove,v2xcl_slave,v2ellocgov,v2xcl_acjst,v2x_liberal,v2expathhs,v2x_egal,v2xlg_elecreg,cname,year,any_attacks,number_attacks_last_year
559.140956898688,37769499,11.082,3.91160341942292,0.682287828246046,0.0127772897517024,63.565,6,-0.04,AFG,0.823,0.609,-0.222,-0.921,0.906,0.162,0.619,0.883,0.705,0.148,-0.392,0.528,0.45,0.164,-2.177,0.721,0.275,0.256,-1.262,-0.608,-1.222,0.763,0.04,0.711,0.172,1.003,-0.08,0.295,1.13,0.461,0.659,100,0.298,0.365,0.192,1,0.461,0,1,0.834,0.856,5,5,0.466,0.298,0.578,1,1,0.075,-0.37,1,-0.704,8,0.63,-0.744,-2.015,0,0.25,0.125,1,0.333,0.624,0.42,0.416,0.925,5453,0.188,0.064,1.461,1949,0.265,0.584,1,0.263,0.401,7,0.416,1,Afghanistan,2019,yes,1806
4543.38771048312,2854191,11.47,2.08771199649604,1.63497378546365,1.42437109584124,79.282,1,1.537,ALB,0.527,1.178,3.188,0.527,2.036,1.025,1.703,0.806,0.246,2.414,0.526,1.09,0.502,0.491,-0.69,0.411,0.744,1.439,1.061,1.396,-0.684,0.23,1.99,0.311,-1.244,1.986,-1.355,-0.356,0.24,1.343,0.869,100,0.247,0.916,0.343,1,0.154,1,1,0.668,0.844,0,0,0.958,0.799,0.786,1,0,0.242,0.889,0,0.908,1,0.902,1.97,0.475,0,0,0.143,0,0.667,0.348,0.476,0.912,0.977,9762,0.41,2.011,1.683,1969,0.916,0.892,1,0.884,0.806,6,0.647,1,Albania,2019,yes,1
4153.00345481624,42705368,12.275,0.999999998155587,18.5236789388593,14.1421031504305,76.474,3,-0.588,DZA,0.555,0.08,0.764,-1.188,0.311,1.262,0.913,0.654,0.361,-0.519,0.476,0.656,-0.213,0.234,-1.089,0.508,0.733,-0.16,1.367,0.36,-0.968,0.315,1.027,0.309,-0.701,0.803,1.091,0.785,1.522,-0.313,0.667,100,0.199,0.571,0.251,1,-1.408,0,1,0.606,0.639,6,11,0.708,-0.142,0.761,1,1,0.042,0.102,1,1.156,3,1.437,-1.067,-0.714,0,0.5,0,1,0,0.499,-0.122,0.604,-0.258,3701,0.149,0.919,-0.701,1945,0.792,0.668,1,0.621,0.354,7,0.677,1,Algeria,2019,yes,0
2666.2539190069,32353588,16.5,-0.702272957616017,28.8978590593907,27.504828641196,62.448,4,-0.17,AGO,0.612,0.058,1.125,-0.103,0.614,0.285,1.927,0.496,0.662,0.14,0.552,-0.116,-0.337,0.255,1.81,0.405,0.215,0.919,-1.354,0.066,0.614,0.5,0.08,0.773,-0.632,0.501,-1.589,1.482,-0.02,-0.569,0.57,100,0.195,0.552,0.155,1,-0.369,1,1,0.636,0.501,0,1,0.618,0.071,0.568,1,0,0.099,0.897,1,-0.268,4,-1.504,-0.023,0.506,0,0.417,0.25,0,0,0.598,0.997,0.604,-1.429,3267,0.181,-0.136,-0.245,1954,0.757,0.591,1,0.543,0.365,6,0.293,1,Angola,2019,yes,1
12716.2242038544,44938712,9.84,-2.00086100285785,2.16668838721926,1.29099565501431,77.284,2,0.624,ARG,0.773,2.332,1.54,0.913,1.189,2.345,1.862,0.409,0.126,2.485,0.948,1.804,0.981,0.873,-0.732,0.673,0.721,3.128,0.97,2.111,-2.298,0.095,1.239,0.319,1.936,1.486,-1.637,-1.064,-0.535,1.274,0.929,100,0.556,0.833,0.592,1,0.99,1,1,0.326,0.383,10,23,0.827,1.313,0.922,2,1,0.643,0.148,1,1.577,2,1.035,2.498,0.738,0,0.05,0,1,0,0.06,1.32,0.914,0.915,12846,0.607,1.311,1.245,1959,0.925,0.749,1,0.671,0.764,7,0.744,1,Argentina,2019,yes,1
4561.96779894751,2820602,12.2,7.59999999853918,2.20100166948291,0,75.439,1,1.903,ARM,0.881,1.834,2.639,1.345,1.847,2.494,0.629,0.283,0.039,1.662,1.078,2.86,2.445,0.922,-0.359,0.842,0.889,1.878,1.681,1.139,-0.098,0.303,2.284,0.235,1.784,3.064,1.524,-1.422,-0.841,0.141,0.926,100,0.671,0.913,0.676,1,1.161,0,1,0.204,0.249,8,8,0.928,1.394,0.942,2,1,0.686,-1.134,0,1.413,1,1.98,0.857,0.451,0,0,0.143,0,0,0.172,0.695,0.907,0.791,252,0.632,1.769,2.336,1953,0.912,0.879,1,0.82,0.768,6,0.844,1,Armenia,2019,no,0
59000.7354442453,25334826,5.16,2.1811091061096,5.74886126457436,0.229199447926395,82.9,5,2.706,AUS,0.823,1.349,3.022,3.377,2.122,2.197,1.939,0.034,0.035,2.558,1.667,1.471,2.254,0.955,1.012,0.936,0.861,3.031,1.829,2.73,0.449,0.035,1.505,0.016,-0.806,2.335,-2.218,-2.141,-2.273,2.986,0.964,100,0.769,0.967,0.716,1,2.383,1,1,0.016,0.034,0,0,0.957,1.682,0.894,3,0,0.743,1.493,0,2.981,5,2.624,2.304,-0.116,0,0,0,0,1,0.011,2.469,0.913,1.991,42571,0.791,2.12,1.551,1953,0.85,0.858,1,0.975,0.967,1,0.85,1,Australia,2019,yes,2
46616.3591743242,8879920,4.56,1.45052918393192,0.110022913288221,0.0368255085399603,81.8951219512195,5,2.271,AUT,0.91,2.599,2.84,2.024,1.45,2.024,1.848,0.08,0.075,0.935,1.801,1.719,1.739,0.939,1.79,0.841,0.957,2.934,2.37,2.494,0.417,0.052,1.975,0.062,-0.065,3.149,-0.546,-1.764,-1.219,2.085,0.976,100,0.718,0.947,0.759,1,1.7,1,1,0.085,0.099,18,18,0.964,1.571,0.855,3,1,0.76,0.882,0,2.933,5,2.658,0.85,0.354,0,0,0.111,0,1,0.047,1.612,0.858,1.751,26925,0.773,2.549,2.782,1944,0.882,0.898,1,0.951,0.921,7,0.904,1,Austria,2019,yes,0
5348.45318851823,10024283,5,2.50000006743734,23.4349054129318,20.4577104992688,73.102,1,-1.095,AZE,0.112,-1.354,1.139,-1.258,-0.493,0.824,1.026,0.926,0.577,-0.608,-0.542,-1.217,-0.846,0.075,2.155,0.079,0.163,-2.405,-1.49,0.826,-0.469,0.366,0.897,0.531,0.465,-1.394,-1.378,-0.357,-0.706,-2.267,0.327,100,0.041,0.372,0.114,1,-1.416,1,1,0.892,0.879,5,8,0.488,-0.907,0.636,1,1,0.003,-0.894,1,1.139,1,1.068,-0.814,0.798,0,0.056,0,1,0,0.851,-0.534,0.508,-0.769,9321,0.064,-1.153,-0.855,1961,0.679,0.781,1,0.303,0.158,7,0.334,1,Azerbaijan,2019,no,0
23414.2190743533,1494188,1.22,2.1669646688237,13.3637839937888,9.8481886760226,80.019,3,-0.552,BHR,0.111,-1.886,-0.231,-1.103,-1.038,1.399,-0.707,0.74,0.935,-2.12,-1.217,-2.137,-1.033,0.215,0.153,0.11,0.78,-1.532,0.833,-0.528,-2.885,0.6,-1.798,0.579,2.068,-1.828,0.815,-0.053,-0.672,-1.478,0.229,100,0.037,0.312,0.112,1,-0.27,1,1,0.476,0.703,0,0,0.342,-0.883,0.737,0,0,0,1.403,0,0.147,3,0.103,-1.005,-1.658,0.4,0.2,0,0,0,0.855,-2.688,0.356,-0.521,2848,0.051,-0.901,-2.293,1950,0.422,0.745,1,0.261,0.16,4,0.387,1,Bahrain,2019,no,0
