wdi_gdp_pcap,wdi_total_pop,wdi_unemployment,wdi_gdp_growth,wdi_resource_rents,wdi_oil_rents,wdi_life_expectancy,e_regionpol_6C,v2cltrnslw,country_text_id,v2xme_altinf,v2clacfree,v2clkill,v2clrspct,v2clfmove,v2clprptyw,v2svdomaut,v2xnp_regcorr,v2xpe_exlsocgr,v2csrlgrep,v2meharjrn,v2pepwrsoc,v2dlencmps,v2xel_frefair,v2elsnlsff,v2xdl_delib,v2xeg_eqdr,v2clpolcl,v2peedueq,v2peasbgen,v2smpolsoc,v2xpe_exlgender,v2clsocgrp,v2xpe_exlecon,v2cacamps,v2caassemb,v2caautmob,v2castate,v2csantimv,v2lginvstp,v2xcl_disc,v2elsuffrage,v2x_delibdem,v2xcl_rol,v2x_egaldem,v2x_elecreg,v2exrescon,v2elrsthos,v2svindep,v2x_pubcorr,v2x_execorr,v2elprescons,v2elprescumul,v2x_clphy,v2x_accountability,v2xcl_prpty,v2x_regime,v2xex_elecreg,v2x_mpi,v2strenarm,v2ex_hosw,v2peapssoc,e_regionpol,v2clacjust,v2clrelig,v2smorgviol,v2x_ex_hereditary,v2x_ex_military,v2x_ex_party,v2x_ex_direlect,v2x_ex_confidence,v2xpe_exlpol,v2meslfcen,v2x_clpriv,v2peasbegeo,v2regdur,v2x_libdem,v2cltort,v2csreprss,v2exagehos,v2xcl_dmove,v2xcl_slave,v2ellocgov,v2xcl_acjst,v2x_liberal,v2expathhs,v2x_egal,v2xlg_elecreg,cname,year,any_attacks,number_attacks_last_year
44984.7344505487,5529543,7.76,-2.35496515679442,0.289254242774969,0.0208151367431629,81.9317073170732,5,3.554,FIN,0.954,2.793,3.153,2.597,2.215,1.977,2.065,0.009,0.026,2.153,3.201,1.328,1.952,0.965,2.073,0.929,0.883,2.921,1.807,2.257,2.551,0.03,2.757,0.017,-1.349,2.917,-0.868,-2.858,-0.717,3.188,0.971,100,0.801,0.984,0.797,1,2.188,1,1,0.019,0.012,19,19,0.987,1.819,0.91,3,1,0.801,0.427,0,3.33,5,3.012,2.537,-0.499,0,0,0.083,0,1,0.014,2.576,0.944,2.346,27496,0.835,3.536,2.537,1948,0.938,0.888,1,0.985,0.973,7,0.917,1,Finland,2020,no,1
35806.6178917772,67571107,8.01,-7.54045916249407,0.0266318650223516,0.00329710789889294,82.1756097560976,5,2.48,FRA,0.944,3.067,2.732,2.632,2.261,2.791,1.799,0.078,0.102,0.738,2.529,1.815,1.312,0.955,1.418,0.932,0.882,2.692,1.791,1.97,-0.79,0.058,1.716,0.095,0.317,2.284,-1.341,-2.395,-0.242,1.901,0.95,100,0.803,0.953,0.767,1,1.757,1,1,0.038,0.099,20,20,0.937,1.643,0.948,3,1,0.798,0.984,0.5,2.785,5,1.885,1.61,-0.882,0,0,0.143,0.5,0.333,0.051,2.95,0.881,1.914,22272,0.794,1.834,1.404,1977,0.788,0.854,1,0.957,0.916,7,0.874,1,France,2020,yes,24
6619.68860295977,2292573,21.432,-1.8377610635094,13.4988249621846,9.97982419987045,66.531,4,1.913,GAB,0.766,1.412,2.335,1.17,1.261,0.957,1.393,0.816,0.466,1.888,1.078,-0.481,0.657,0.212,-1.05,0.668,0.713,0.685,1.094,-0.049,-0.471,0.406,1.997,0.571,-0.486,0.826,0.867,2.155,1.881,-1.426,0.841,100,0.291,0.856,0.299,1,-0.707,1,1,0.736,0.784,9,10,0.911,0.195,0.778,1,1,0.1,0.718,1,0.735,4,1.426,0.928,-0.963,0,0.5,0.125,1,0.333,0.599,0.331,0.788,-0.24,10507,0.204,1.766,0.947,1959,0.742,0.784,1,0.837,0.414,7,0.693,1,Gabon,2020,no,0
655.576119206423,2573995,4.763,0.591487287873974,3.03439304457224,0,62.612,4,1.08,GMB,0.729,1.306,1.791,0.882,1.489,1.376,0.85,0.412,0.23,1.938,1.258,0.81,1.623,0.506,-1.137,0.713,0.509,1.545,0.174,0.983,1.83,0.329,2.938,0.384,-0.883,1.221,-1.92,-0.616,-1.537,0.548,0.816,100,0.379,0.869,0.359,1,0.522,0,1,0.417,0.516,5,8,0.859,0.818,0.814,1,1,0.256,1.476,1,0.563,4,1.602,1.782,0.837,0,0.214,0.143,1,0,0.301,1.011,0.872,0.034,1074,0.408,1.445,2.239,1965,0.895,0.833,1,0.888,0.782,7,0.661,1,Gambia,2020,no,0
4447.58193544814,3722716,11.73,-6.76043981705519,0.925523673088172,0.0156199754640174,72.765,1,0.668,GEO,0.863,1.04,2.611,1.156,1.937,1.828,1.154,0.167,0.15,2.367,1.765,0.836,1.711,0.582,-0.423,0.815,0.85,2.42,1.445,3.12,-1.284,0.069,1.825,0.158,1.567,0.613,-1.049,-1.557,-0.475,0.782,0.953,100,0.513,0.875,0.51,1,1.275,1,1,0.129,0.197,8,9,0.937,1.094,0.89,2,1,0.432,1.064,0,1.497,1,1.834,0.837,0.055,0,0,0.286,0,0.667,0.14,1.329,0.893,1.144,5882,0.493,1.964,2.719,1952,0.896,0.859,1,0.776,0.763,7,0.803,1,Georgia,2020,no,1
41601.9731563516,83160871,3.86,-3.82676871619293,0.0767453976974352,0.00673003142464202,81.0414634146342,5,3.497,DEU,0.906,2.01,3.297,4.006,2.719,3.232,1.997,0.011,0.022,1.786,2.336,2.542,2.168,0.974,1.965,0.977,0.902,2.95,2.572,2.386,0.056,0.037,3.538,0.022,-1.055,2.874,-0.899,-2.353,-0.94,3.12,0.976,100,0.838,0.989,0.803,1,2.856,1,1,0.013,0.008,0,4,0.974,1.86,0.97,3,0,0.803,1.104,0,3.274,5,2.881,2.129,-0.033,0,0,0,0,1,0.019,1.959,0.953,1.967,10681,0.828,2.503,3.087,1956,0.934,0.846,1,0.993,0.96,7,0.926,1,Germany,2020,yes,33
1951.06446878734,32180401,3.419,0.513941670628171,8.48657958474163,2.25284947216201,64.114,4,2.415,GHA,0.86,1.709,1.697,-0.694,1.665,1.819,1.736,0.706,0.142,2.579,0.447,1.513,1.158,0.74,0.277,0.834,0.579,3.436,-0.269,2.227,-1.769,0.095,2.146,0.119,-0.398,0.591,-2.041,-0.606,-0.379,1.298,0.941,100,0.605,0.905,0.542,1,0.676,1,1,0.65,0.747,10,13,0.896,1.267,0.868,3,1,0.577,1.562,1,0.882,4,1.467,2.487,1.709,0,0.15,0.05,1,0.333,0.251,1.27,0.922,-0.136,6932,0.62,2.084,2.098,1944,0.939,0.773,1,0.9,0.858,7,0.718,1,Ghana,2020,yes,10
17283.2457234913,10698599,15.9,-9.31643576478743,0.0388459707205932,0.00652358198539234,81.2878048780488,5,1.965,GRC,0.804,1.741,2.78,1.361,2.862,1.547,0.792,0.209,0.047,1.265,0.9,1.5,1.509,0.956,2.123,0.893,0.927,1.849,2.54,1.655,-0.759,0.082,1.355,0.079,0.298,2.622,-1.75,-2.106,-0.475,1.243,0.938,100,0.719,0.949,0.689,1,1.983,1,1,0.193,0.193,0,1,0.97,1.491,0.768,3,0,0.708,-0.364,0,2.861,5,1.645,0.485,-0.127,0,0,0.188,0,0.667,0.045,1.221,0.874,1.157,16274,0.704,2.811,2.819,1956,0.904,0.858,1,0.975,0.863,6,0.845,1,Greece,2020,yes,50
4124.14353853545,16858333,2.88,-1.79185769458479,1.35250209053897,0.0532892177587073,71.797,2,0.314,GTM,0.768,1.45,0.618,-0.413,0.764,0.913,0.938,0.803,0.815,2.188,0.341,-0.348,-0.964,0.53,-0.95,0.461,0.202,1.117,-1.062,-0.475,-1.331,0.598,-1.194,0.846,-0.729,2.237,-1.33,-0.946,-0.63,0.603,0.733,100,0.299,0.55,0.229,1,0.272,1,1,0.737,0.803,18,35,0.658,0.735,0.65,2,1,0.311,1.496,1,-1.399,2,-0.361,1.505,0.531,0,0.214,0,1,0,0.381,0.243,0.712,-0.779,9704,0.384,0.665,0.462,1956,0.701,0.547,1,0.291,0.661,7,0.306,1,Guatemala,2020,yes,3
959.43197301356,13205153,6.064,4.92026637152216,4.8276880509577,0,59.327,4,-0.084,GIN,0.815,-0.761,-1.008,-1.466,-0.332,-0.443,1.744,0.873,0.683,0.946,0.147,0.071,0.164,0.165,-1.328,0.243,0.165,-0.743,-1.156,-0.667,-2.028,0.762,0.585,0.664,2.434,-0.762,0.674,-0.091,2.393,-0.726,0.241,100,0.12,0.264,0.174,1,-0.822,1,1,0.829,0.867,4,11,0.252,-0.107,0.324,1,1,0.049,0.791,1,-0.071,4,0.94,1.103,-2.211,0,0.5,0,1,0,0.764,1.4,0.391,-0.75,0,0.119,-0.89,-0.285,1938,0.418,0.331,1,0.234,0.24,7,0.403,1,Guinea,2020,no,0
