Currency,date,value,fmt_date,value_numeric
Chinese yuan,"January 03,2023",6.892800,2023-01-03,6.8928
Chinese yuan,"January 04,2023",6.891200,2023-01-04,6.8912
Chinese yuan,"January 05,2023",6.874700,2023-01-05,6.8747
Chinese yuan,"January 06,2023",6.863000,2023-01-06,6.863
Chinese yuan,"January 09,2023",6.779000,2023-01-09,6.779
Chinese yuan,"January 10,2023",6.783800,2023-01-10,6.7838
Chinese yuan,"January 11,2023",6.772500,2023-01-11,6.7725
Chinese yuan,"January 12,2023",6.757300,2023-01-12,6.7573
Chinese yuan,"January 13,2023",6.714300,2023-01-13,6.7143
Chinese yuan,"January 17,2023",6.768100,2023-01-17,6.7681
Chinese yuan,"January 18,2023",6.774100,2023-01-18,6.7741
Chinese yuan,"January 19,2023",6.778700,2023-01-19,6.7787
Chinese yuan,"January 20,2023",6.774800,2023-01-20,6.7748
Chinese yuan,"January 23,2023",NA,2023-01-23,NA
Chinese yuan,"January 24,2023",NA,2023-01-24,NA
Chinese yuan,"January 25,2023",NA,2023-01-25,NA
Chinese yuan,"January 26,2023",NA,2023-01-26,NA
Chinese yuan,"January 27,2023",NA,2023-01-27,NA
Chinese yuan,"January 30,2023",6.752300,2023-01-30,6.7523
Chinese yuan,"January 31,2023",6.752900,2023-01-31,6.7529
Euro (1),"January 03,2023",1.054500,2023-01-03,1.0545
Euro (1),"January 04,2023",1.059900,2023-01-04,1.0599
Euro (1),"January 05,2023",1.060100,2023-01-05,1.0601
Euro (1),"January 06,2023",1.050000,2023-01-06,1.05
Euro (1),"January 09,2023",1.069600,2023-01-09,1.0696
Euro (1),"January 10,2023",1.072300,2023-01-10,1.0723
Euro (1),"January 11,2023",1.074700,2023-01-11,1.0747
Euro (1),"January 12,2023",1.077200,2023-01-12,1.0772
Euro (1),"January 13,2023",1.081400,2023-01-13,1.0814
Euro (1),"January 17,2023",1.084300,2023-01-17,1.0843
Euro (1),"January 18,2023",1.083900,2023-01-18,1.0839
Euro (1),"January 19,2023",1.081500,2023-01-19,1.0815
Euro (1),"January 20,2023",1.082600,2023-01-20,1.0826
Euro (1),"January 23,2023",1.087100,2023-01-23,1.0871
Euro (1),"January 24,2023",1.085800,2023-01-24,1.0858
Euro (1),"January 25,2023",1.087800,2023-01-25,1.0878
Euro (1),"January 26,2023",1.089500,2023-01-26,1.0895
Euro (1),"January 27,2023",1.086500,2023-01-27,1.0865
Euro (1),"January 30,2023",1.090300,2023-01-30,1.0903
Euro (1),"January 31,2023",1.083300,2023-01-31,1.0833
Japanese yen,"January 03,2023",NA,2023-01-03,NA
Japanese yen,"January 04,2023",130.960000,2023-01-04,130.96
Japanese yen,"January 05,2023",132.050000,2023-01-05,132.05
Japanese yen,"January 06,2023",133.640000,2023-01-06,133.64
Japanese yen,"January 09,2023",NA,2023-01-09,NA
Japanese yen,"January 10,2023",131.800000,2023-01-10,131.8
Japanese yen,"January 11,2023",132.360000,2023-01-11,132.36
Japanese yen,"January 12,2023",131.900000,2023-01-12,131.9
Japanese yen,"January 13,2023",129.230000,2023-01-13,129.23
Japanese yen,"January 17,2023",128.710000,2023-01-17,128.71
Japanese yen,"January 18,2023",128.840000,2023-01-18,128.84
Japanese yen,"January 19,2023",128.400000,2023-01-19,128.4
Japanese yen,"January 20,2023",128.650000,2023-01-20,128.65
Japanese yen,"January 23,2023",129.290000,2023-01-23,129.29
Japanese yen,"January 24,2023",130.360000,2023-01-24,130.36
Japanese yen,"January 25,2023",130.350000,2023-01-25,130.35
Japanese yen,"January 26,2023",129.190000,2023-01-26,129.19
Japanese yen,"January 27,2023",130.000000,2023-01-27,130
Japanese yen,"January 30,2023",130.060000,2023-01-30,130.06
Japanese yen,"January 31,2023",130.410000,2023-01-31,130.41
U.K. pound (1),"January 03,2023",1.193300,2023-01-03,1.1933
U.K. pound (1),"January 04,2023",1.205650,2023-01-04,1.20565
U.K. pound (1),"January 05,2023",1.202250,2023-01-05,1.20225
U.K. pound (1),"January 06,2023",1.184850,2023-01-06,1.18485
U.K. pound (1),"January 09,2023",1.214350,2023-01-09,1.21435
U.K. pound (1),"January 10,2023",1.215100,2023-01-10,1.2151
U.K. pound (1),"January 11,2023",1.212800,2023-01-11,1.2128
U.K. pound (1),"January 12,2023",1.216450,2023-01-12,1.21645
U.K. pound (1),"January 13,2023",1.217400,2023-01-13,1.2174
U.K. pound (1),"January 17,2023",1.225700,2023-01-17,1.2257
U.K. pound (1),"January 18,2023",1.237650,2023-01-18,1.23765
U.K. pound (1),"January 19,2023",1.235300,2023-01-19,1.2353
U.K. pound (1),"January 20,2023",1.235350,2023-01-20,1.23535
U.K. pound (1),"January 23,2023",1.235300,2023-01-23,1.2353
U.K. pound (1),"January 24,2023",1.231500,2023-01-24,1.2315
U.K. pound (1),"January 25,2023",1.231000,2023-01-25,1.231
U.K. pound (1),"January 26,2023",1.239100,2023-01-26,1.2391
U.K. pound (1),"January 27,2023",1.236850,2023-01-27,1.23685
U.K. pound (1),"January 30,2023",1.238300,2023-01-30,1.2383
U.K. pound (1),"January 31,2023",1.232400,2023-01-31,1.2324
U.S. dollar,"January 03,2023",1.000000,2023-01-03,1
U.S. dollar,"January 04,2023",1.000000,2023-01-04,1
U.S. dollar,"January 05,2023",1.000000,2023-01-05,1
U.S. dollar,"January 06,2023",1.000000,2023-01-06,1
U.S. dollar,"January 09,2023",1.000000,2023-01-09,1
U.S. dollar,"January 10,2023",1.000000,2023-01-10,1
U.S. dollar,"January 11,2023",1.000000,2023-01-11,1
U.S. dollar,"January 12,2023",1.000000,2023-01-12,1
U.S. dollar,"January 13,2023",1.000000,2023-01-13,1
U.S. dollar,"January 17,2023",1.000000,2023-01-17,1
U.S. dollar,"January 18,2023",1.000000,2023-01-18,1
U.S. dollar,"January 19,2023",1.000000,2023-01-19,1
U.S. dollar,"January 20,2023",1.000000,2023-01-20,1
U.S. dollar,"January 23,2023",1.000000,2023-01-23,1
U.S. dollar,"January 24,2023",1.000000,2023-01-24,1
U.S. dollar,"January 25,2023",1.000000,2023-01-25,1
U.S. dollar,"January 26,2023",1.000000,2023-01-26,1
U.S. dollar,"January 27,2023",1.000000,2023-01-27,1
U.S. dollar,"January 30,2023",1.000000,2023-01-30,1
U.S. dollar,"January 31,2023",1.000000,2023-01-31,1
Algerian dinar,"January 03,2023",137.404500,2023-01-03,137.4045
Algerian dinar,"January 04,2023",137.154800,2023-01-04,137.1548
Algerian dinar,"January 05,2023",137.119400,2023-01-05,137.1194
Algerian dinar,"January 06,2023",137.555900,2023-01-06,137.5559
Algerian dinar,"January 09,2023",136.889500,2023-01-09,136.8895
Algerian dinar,"January 10,2023",136.482400,2023-01-10,136.4824
Algerian dinar,"January 11,2023",136.476500,2023-01-11,136.4765
Algerian dinar,"January 12,2023",136.405700,2023-01-12,136.4057
Algerian dinar,"January 13,2023",135.969200,2023-01-13,135.9692
Algerian dinar,"January 17,2023",135.939700,2023-01-17,135.9397
Algerian dinar,"January 18,2023",135.922000,2023-01-18,135.922
Algerian dinar,"January 19,2023",136.010500,2023-01-19,136.0105
Algerian dinar,"January 20,2023",135.880700,2023-01-20,135.8807
Algerian dinar,"January 23,2023",135.526800,2023-01-23,135.5268
Algerian dinar,"January 24,2023",135.597500,2023-01-24,135.5975
Algerian dinar,"January 25,2023",135.632900,2023-01-25,135.6329
Algerian dinar,"January 26,2023",135.444200,2023-01-26,135.4442
Algerian dinar,"January 27,2023",135.627100,2023-01-27,135.6271
Algerian dinar,"January 30,2023",135.568100,2023-01-30,135.5681
Algerian dinar,"January 31,2023",135.774500,2023-01-31,135.7745
Australian dollar (1),"January 03,2023",NA,2023-01-03,NA
Australian dollar (1),"January 04,2023",0.680900,2023-01-04,0.6809
Australian dollar (1),"January 05,2023",0.681500,2023-01-05,0.6815
Australian dollar (1),"January 06,2023",0.676900,2023-01-06,0.6769
Australian dollar (1),"January 09,2023",0.692900,2023-01-09,0.6929
Australian dollar (1),"January 10,2023",0.690400,2023-01-10,0.6904
Australian dollar (1),"January 11,2023",0.691100,2023-01-11,0.6911
Australian dollar (1),"January 12,2023",0.692300,2023-01-12,0.6923
Australian dollar (1),"January 13,2023",0.695500,2023-01-13,0.6955
Australian dollar (1),"January 17,2023",0.697300,2023-01-17,0.6973
Australian dollar (1),"January 18,2023",0.699400,2023-01-18,0.6994
Australian dollar (1),"January 19,2023",0.690400,2023-01-19,0.6904
Australian dollar (1),"January 20,2023",0.691800,2023-01-20,0.6918
Australian dollar (1),"January 23,2023",0.698300,2023-01-23,0.6983
Australian dollar (1),"January 24,2023",0.703300,2023-01-24,0.7033
Australian dollar (1),"January 25,2023",0.710200,2023-01-25,0.7102
Australian dollar (1),"January 26,2023",NA,2023-01-26,NA
Australian dollar (1),"January 27,2023",0.710700,2023-01-27,0.7107
Australian dollar (1),"January 30,2023",0.709200,2023-01-30,0.7092
Australian dollar (1),"January 31,2023",0.703700,2023-01-31,0.7037
Botswana pula (1),"January 03,2023",NA,2023-01-03,NA
Botswana pula (1),"January 04,2023",0.078200,2023-01-04,0.0782
Botswana pula (1),"January 05,2023",0.078400,2023-01-05,0.0784
Botswana pula (1),"January 06,2023",0.077600,2023-01-06,0.0776
Botswana pula (1),"January 09,2023",0.078300,2023-01-09,0.0783
Botswana pula (1),"January 10,2023",0.078600,2023-01-10,0.0786
Botswana pula (1),"January 11,2023",0.078500,2023-01-11,0.0785
Botswana pula (1),"January 12,2023",0.078600,2023-01-12,0.0786
Botswana pula (1),"January 13,2023",0.079200,2023-01-13,0.0792
Botswana pula (1),"January 17,2023",0.078500,2023-01-17,0.0785
Botswana pula (1),"January 18,2023",0.078400,2023-01-18,0.0784
Botswana pula (1),"January 19,2023",0.078500,2023-01-19,0.0785
Botswana pula (1),"January 20,2023",0.078200,2023-01-20,0.0782
Botswana pula (1),"January 23,2023",0.078400,2023-01-23,0.0784
Botswana pula (1),"January 24,2023",0.078300,2023-01-24,0.0783
Botswana pula (1),"January 25,2023",0.078400,2023-01-25,0.0784
Botswana pula (1),"January 26,2023",0.078500,2023-01-26,0.0785
Botswana pula (1),"January 27,2023",0.078200,2023-01-27,0.0782
Botswana pula (1),"January 30,2023",0.078300,2023-01-30,0.0783
Botswana pula (1),"January 31,2023",0.077800,2023-01-31,0.0778
Brazilian real,"January 03,2023",5.375300,2023-01-03,5.3753
Brazilian real,"January 04,2023",5.445300,2023-01-04,5.4453
Brazilian real,"January 05,2023",5.402000,2023-01-05,5.402
Brazilian real,"January 06,2023",5.284900,2023-01-06,5.2849
Brazilian real,"January 09,2023",5.296100,2023-01-09,5.2961
Brazilian real,"January 10,2023",5.238900,2023-01-10,5.2389
Brazilian real,"January 11,2023",5.201400,2023-01-11,5.2014
Brazilian real,"January 12,2023",5.139400,2023-01-12,5.1394
Brazilian real,"January 13,2023",5.114000,2023-01-13,5.114
Brazilian real,"January 17,2023",5.119700,2023-01-17,5.1197
Brazilian real,"January 18,2023",5.090300,2023-01-18,5.0903
Brazilian real,"January 19,2023",5.213800,2023-01-19,5.2138
Brazilian real,"January 20,2023",5.198000,2023-01-20,5.198
Brazilian real,"January 23,2023",5.191600,2023-01-23,5.1916
Brazilian real,"January 24,2023",5.169000,2023-01-24,5.169
Brazilian real,"January 25,2023",5.103600,2023-01-25,5.1036
Brazilian real,"January 26,2023",5.094500,2023-01-26,5.0945
Brazilian real,"January 27,2023",5.076100,2023-01-27,5.0761
Brazilian real,"January 30,2023",5.095300,2023-01-30,5.0953
Brazilian real,"January 31,2023",5.098700,2023-01-31,5.0987
Brunei dollar,"January 03,2023",1.337300,2023-01-03,1.3373
Brunei dollar,"January 04,2023",1.341700,2023-01-04,1.3417
Brunei dollar,"January 05,2023",1.342300,2023-01-05,1.3423
Brunei dollar,"January 06,2023",1.343500,2023-01-06,1.3435
Brunei dollar,"January 09,2023",1.331000,2023-01-09,1.331
Brunei dollar,"January 10,2023",1.331200,2023-01-10,1.3312
Brunei dollar,"January 11,2023",1.331500,2023-01-11,1.3315
Brunei dollar,"January 12,2023",1.330400,2023-01-12,1.3304
Brunei dollar,"January 13,2023",1.323000,2023-01-13,1.323
Brunei dollar,"January 17,2023",1.322000,2023-01-17,1.322
Brunei dollar,"January 18,2023",1.324300,2023-01-18,1.3243
Brunei dollar,"January 19,2023",1.322100,2023-01-19,1.3221
Brunei dollar,"January 20,2023",1.322800,2023-01-20,1.3228
Brunei dollar,"January 23,2023",NA,2023-01-23,NA
Brunei dollar,"January 24,2023",NA,2023-01-24,NA
Brunei dollar,"January 25,2023",1.317900,2023-01-25,1.3179
Brunei dollar,"January 26,2023",1.312000,2023-01-26,1.312
Brunei dollar,"January 27,2023",1.313700,2023-01-27,1.3137
Brunei dollar,"January 30,2023",1.313800,2023-01-30,1.3138
Brunei dollar,"January 31,2023",1.314200,2023-01-31,1.3142
Canadian dollar,"January 03,2023",1.365800,2023-01-03,1.3658
Canadian dollar,"January 04,2023",1.350800,2023-01-04,1.3508
Canadian dollar,"January 05,2023",1.356400,2023-01-05,1.3564
Canadian dollar,"January 06,2023",1.348600,2023-01-06,1.3486
Canadian dollar,"January 09,2023",1.337600,2023-01-09,1.3376
Canadian dollar,"January 10,2023",1.342100,2023-01-10,1.3421
Canadian dollar,"January 11,2023",1.342500,2023-01-11,1.3425
Canadian dollar,"January 12,2023",1.337800,2023-01-12,1.3378
Canadian dollar,"January 13,2023",1.340600,2023-01-13,1.3406
Canadian dollar,"January 17,2023",1.339000,2023-01-17,1.339
Canadian dollar,"January 18,2023",1.343900,2023-01-18,1.3439
Canadian dollar,"January 19,2023",1.347200,2023-01-19,1.3472
Canadian dollar,"January 20,2023",1.342100,2023-01-20,1.3421
Canadian dollar,"January 23,2023",1.338200,2023-01-23,1.3382
Canadian dollar,"January 24,2023",1.337000,2023-01-24,1.337
Canadian dollar,"January 25,2023",1.339300,2023-01-25,1.3393
Canadian dollar,"January 26,2023",1.334900,2023-01-26,1.3349
Canadian dollar,"January 27,2023",1.331400,2023-01-27,1.3314
Canadian dollar,"January 30,2023",1.335600,2023-01-30,1.3356
Canadian dollar,"January 31,2023",1.335000,2023-01-31,1.335
Chilean peso,"January 03,2023",855.860000,2023-01-03,855.86
Chilean peso,"January 04,2023",852.140000,2023-01-04,852.14
Chilean peso,"January 05,2023",855.100000,2023-01-05,855.1
Chilean peso,"January 06,2023",856.310000,2023-01-06,856.31
Chilean peso,"January 09,2023",846.380000,2023-01-09,846.38
Chilean peso,"January 10,2023",837.190000,2023-01-10,837.19
Chilean peso,"January 11,2023",833.730000,2023-01-11,833.73
Chilean peso,"January 12,2023",825.670000,2023-01-12,825.67
Chilean peso,"January 13,2023",822.320000,2023-01-13,822.32
Chilean peso,"January 17,2023",821.590000,2023-01-17,821.59
Chilean peso,"January 18,2023",820.890000,2023-01-18,820.89
Chilean peso,"January 19,2023",812.450000,2023-01-19,812.45
Chilean peso,"January 20,2023",828.740000,2023-01-20,828.74
Chilean peso,"January 23,2023",821.020000,2023-01-23,821.02
Chilean peso,"January 24,2023",814.110000,2023-01-24,814.11
Chilean peso,"January 25,2023",805.450000,2023-01-25,805.45
Chilean peso,"January 26,2023",803.680000,2023-01-26,803.68
Chilean peso,"January 27,2023",802.580000,2023-01-27,802.58
Chilean peso,"January 30,2023",803.140000,2023-01-30,803.14
Chilean peso,"January 31,2023",810.370000,2023-01-31,810.37
Czech koruna,"January 03,2023",22.878000,2023-01-03,22.878
Czech koruna,"January 04,2023",22.672000,2023-01-04,22.672
Czech koruna,"January 05,2023",22.676000,2023-01-05,22.676
Czech koruna,"January 06,2023",22.911000,2023-01-06,22.911
Czech koruna,"January 09,2023",22.430000,2023-01-09,22.43
Czech koruna,"January 10,2023",22.368000,2023-01-10,22.368
Czech koruna,"January 11,2023",22.357000,2023-01-11,22.357
Czech koruna,"January 12,2023",22.312000,2023-01-12,22.312
Czech koruna,"January 13,2023",22.206000,2023-01-13,22.206
Czech koruna,"January 17,2023",22.100000,2023-01-17,22.1
Czech koruna,"January 18,2023",22.103000,2023-01-18,22.103
Czech koruna,"January 19,2023",22.120000,2023-01-19,22.12
Czech koruna,"January 20,2023",22.097000,2023-01-20,22.097
Czech koruna,"January 23,2023",21.971000,2023-01-23,21.971
Czech koruna,"January 24,2023",21.987000,2023-01-24,21.987
Czech koruna,"January 25,2023",21.888000,2023-01-25,21.888
Czech koruna,"January 26,2023",21.866000,2023-01-26,21.866
Czech koruna,"January 27,2023",21.929000,2023-01-27,21.929
Czech koruna,"January 30,2023",21.880000,2023-01-30,21.88
Czech koruna,"January 31,2023",21.961000,2023-01-31,21.961
Danish krone,"January 03,2023",7.052600,2023-01-03,7.0526
Danish krone,"January 04,2023",7.017100,2023-01-04,7.0171
Danish krone,"January 05,2023",7.015700,2023-01-05,7.0157
Danish krone,"January 06,2023",7.082900,2023-01-06,7.0829
Danish krone,"January 09,2023",6.953400,2023-01-09,6.9534
Danish krone,"January 10,2023",6.936000,2023-01-10,6.936
Danish krone,"January 11,2023",6.920500,2023-01-11,6.9205
Danish krone,"January 12,2023",6.905400,2023-01-12,6.9054
Danish krone,"January 13,2023",6.878800,2023-01-13,6.8788
Danish krone,"January 17,2023",6.860300,2023-01-17,6.8603
Danish krone,"January 18,2023",6.864000,2023-01-18,6.864
Danish krone,"January 19,2023",6.879100,2023-01-19,6.8791
Danish krone,"January 20,2023",6.871500,2023-01-20,6.8715
Danish krone,"January 23,2023",6.843300,2023-01-23,6.8433
Danish krone,"January 24,2023",6.852000,2023-01-24,6.852
Danish krone,"January 25,2023",6.837700,2023-01-25,6.8377
Danish krone,"January 26,2023",6.827300,2023-01-26,6.8273
Danish krone,"January 27,2023",6.845700,2023-01-27,6.8457
Danish krone,"January 30,2023",6.822300,2023-01-30,6.8223
Danish krone,"January 31,2023",6.866800,2023-01-31,6.8668
Indian rupee,"January 03,2023",82.781700,2023-01-03,82.7817
Indian rupee,"January 04,2023",82.905200,2023-01-04,82.9052
Indian rupee,"January 05,2023",82.697300,2023-01-05,82.6973
Indian rupee,"January 06,2023",82.634800,2023-01-06,82.6348
Indian rupee,"January 09,2023",82.366200,2023-01-09,82.3662
Indian rupee,"January 10,2023",82.210800,2023-01-10,82.2108
Indian rupee,"January 11,2023",81.702900,2023-01-11,81.7029
Indian rupee,"January 12,2023",81.718700,2023-01-12,81.7187
Indian rupee,"January 13,2023",81.432800,2023-01-13,81.4328
Indian rupee,"January 17,2023",81.772700,2023-01-17,81.7727
Indian rupee,"January 18,2023",81.648000,2023-01-18,81.648
Indian rupee,"January 19,2023",81.357700,2023-01-19,81.3577
Indian rupee,"January 20,2023",81.219600,2023-01-20,81.2196
Indian rupee,"January 23,2023",81.275700,2023-01-23,81.2757
Indian rupee,"January 24,2023",81.602000,2023-01-24,81.602
Indian rupee,"January 25,2023",81.626300,2023-01-25,81.6263
Indian rupee,"January 26,2023",NA,2023-01-26,NA
Indian rupee,"January 27,2023",81.544500,2023-01-27,81.5445
Indian rupee,"January 30,2023",81.655200,2023-01-30,81.6552
Indian rupee,"January 31,2023",81.738700,2023-01-31,81.7387
Israeli New Shekel,"January 03,2023",3.532000,2023-01-03,3.532
Israeli New Shekel,"January 04,2023",3.527000,2023-01-04,3.527
Israeli New Shekel,"January 05,2023",3.529000,2023-01-05,3.529
Israeli New Shekel,"January 06,2023",3.556000,2023-01-06,3.556
Israeli New Shekel,"January 09,2023",3.496000,2023-01-09,3.496
Israeli New Shekel,"January 10,2023",3.480000,2023-01-10,3.48
Israeli New Shekel,"January 11,2023",3.458000,2023-01-11,3.458
Israeli New Shekel,"January 12,2023",3.429000,2023-01-12,3.429
Israeli New Shekel,"January 13,2023",3.410000,2023-01-13,3.41
Israeli New Shekel,"January 17,2023",3.418000,2023-01-17,3.418
Israeli New Shekel,"January 18,2023",3.381000,2023-01-18,3.381
Israeli New Shekel,"January 19,2023",3.408000,2023-01-19,3.408
Israeli New Shekel,"January 20,2023",3.407000,2023-01-20,3.407
Israeli New Shekel,"January 23,2023",3.380000,2023-01-23,3.38
Israeli New Shekel,"January 24,2023",3.373000,2023-01-24,3.373
Israeli New Shekel,"January 25,2023",3.370000,2023-01-25,3.37
Israeli New Shekel,"January 26,2023",3.399000,2023-01-26,3.399
Israeli New Shekel,"January 27,2023",3.438000,2023-01-27,3.438
Israeli New Shekel,"January 30,2023",3.468000,2023-01-30,3.468
Israeli New Shekel,"January 31,2023",3.475000,2023-01-31,3.475
Korean won,"January 03,2023","1,268.900000",2023-01-03,1268.9
Korean won,"January 04,2023","1,272.100000",2023-01-04,1272.1
Korean won,"January 05,2023","1,274.700000",2023-01-05,1274.7
Korean won,"January 06,2023","1,270.300000",2023-01-06,1270.3
Korean won,"January 09,2023","1,267.200000",2023-01-09,1267.2
Korean won,"January 10,2023","1,246.800000",2023-01-10,1246.8
Korean won,"January 11,2023","1,240.800000",2023-01-11,1240.8
Korean won,"January 12,2023","1,245.300000",2023-01-12,1245.3
Korean won,"January 13,2023","1,244.600000",2023-01-13,1244.6
Korean won,"January 17,2023","1,234.000000",2023-01-17,1234
Korean won,"January 18,2023","1,238.500000",2023-01-18,1238.5
Korean won,"January 19,2023","1,239.800000",2023-01-19,1239.8
Korean won,"January 20,2023","1,236.000000",2023-01-20,1236
Korean won,"January 23,2023",NA,2023-01-23,NA
Korean won,"January 24,2023",NA,2023-01-24,NA
Korean won,"January 25,2023","1,234.400000",2023-01-25,1234.4
Korean won,"January 26,2023","1,233.400000",2023-01-26,1233.4
Korean won,"January 27,2023","1,231.400000",2023-01-27,1231.4
Korean won,"January 30,2023","1,230.200000",2023-01-30,1230.2
Korean won,"January 31,2023","1,228.700000",2023-01-31,1228.7
Kuwaiti dinar,"January 03,2023",0.305850,2023-01-03,0.30585
Kuwaiti dinar,"January 04,2023",0.306250,2023-01-04,0.30625
Kuwaiti dinar,"January 05,2023",0.306250,2023-01-05,0.30625
Kuwaiti dinar,"January 06,2023",NA,2023-01-06,NA
Kuwaiti dinar,"January 09,2023",0.305950,2023-01-09,0.30595
Kuwaiti dinar,"January 10,2023",0.305800,2023-01-10,0.3058
Kuwaiti dinar,"January 11,2023",0.305800,2023-01-11,0.3058
Kuwaiti dinar,"January 12,2023",0.305700,2023-01-12,0.3057
Kuwaiti dinar,"January 13,2023",NA,2023-01-13,NA
Kuwaiti dinar,"January 17,2023",0.305300,2023-01-17,0.3053
Kuwaiti dinar,"January 18,2023",0.305650,2023-01-18,0.30565
Kuwaiti dinar,"January 19,2023",0.305250,2023-01-19,0.30525
Kuwaiti dinar,"January 20,2023",NA,2023-01-20,NA
Kuwaiti dinar,"January 23,2023",0.305150,2023-01-23,0.30515
Kuwaiti dinar,"January 24,2023",0.305250,2023-01-24,0.30525
Kuwaiti dinar,"January 25,2023",0.305250,2023-01-25,0.30525
Kuwaiti dinar,"January 26,2023",0.305000,2023-01-26,0.305
Kuwaiti dinar,"January 27,2023",NA,2023-01-27,NA
Kuwaiti dinar,"January 30,2023",0.305200,2023-01-30,0.3052
Kuwaiti dinar,"January 31,2023",0.305350,2023-01-31,0.30535
Malaysian ringgit,"January 03,2023",4.390000,2023-01-03,4.39
Malaysian ringgit,"January 04,2023",4.404500,2023-01-04,4.4045
Malaysian ringgit,"January 05,2023",4.401000,2023-01-05,4.401
Malaysian ringgit,"January 06,2023",4.395500,2023-01-06,4.3955
Malaysian ringgit,"January 09,2023",4.376500,2023-01-09,4.3765
Malaysian ringgit,"January 10,2023",4.375000,2023-01-10,4.375
Malaysian ringgit,"January 11,2023",4.375000,2023-01-11,4.375
Malaysian ringgit,"January 12,2023",4.367500,2023-01-12,4.3675
Malaysian ringgit,"January 13,2023",4.340000,2023-01-13,4.34
Malaysian ringgit,"January 17,2023",4.328500,2023-01-17,4.3285
Malaysian ringgit,"January 18,2023",4.336500,2023-01-18,4.3365
Malaysian ringgit,"January 19,2023",4.317000,2023-01-19,4.317
Malaysian ringgit,"January 20,2023",4.294000,2023-01-20,4.294
Malaysian ringgit,"January 23,2023",NA,2023-01-23,NA
Malaysian ringgit,"January 24,2023",NA,2023-01-24,NA
Malaysian ringgit,"January 25,2023",4.273000,2023-01-25,4.273
Malaysian ringgit,"January 26,2023",4.250500,2023-01-26,4.2505
Malaysian ringgit,"January 27,2023",4.229500,2023-01-27,4.2295
Malaysian ringgit,"January 30,2023",4.237500,2023-01-30,4.2375
Malaysian ringgit,"January 31,2023",4.247500,2023-01-31,4.2475
Mauritian rupee,"January 03,2023",NA,2023-01-03,NA
Mauritian rupee,"January 04,2023",44.105100,2023-01-04,44.1051
Mauritian rupee,"January 05,2023",43.960400,2023-01-05,43.9604
Mauritian rupee,"January 06,2023",43.903200,2023-01-06,43.9032
Mauritian rupee,"January 09,2023",44.223300,2023-01-09,44.2233
Mauritian rupee,"January 10,2023",44.059800,2023-01-10,44.0598
Mauritian rupee,"January 11,2023",43.962000,2023-01-11,43.962
Mauritian rupee,"January 12,2023",44.035000,2023-01-12,44.035
Mauritian rupee,"January 13,2023",43.909300,2023-01-13,43.9093
Mauritian rupee,"January 17,2023",43.876800,2023-01-17,43.8768
Mauritian rupee,"January 18,2023",44.141800,2023-01-18,44.1418
Mauritian rupee,"January 19,2023",44.500800,2023-01-19,44.5008
Mauritian rupee,"January 20,2023",44.215700,2023-01-20,44.2157
Mauritian rupee,"January 23,2023",44.335000,2023-01-23,44.335
Mauritian rupee,"January 24,2023",44.532300,2023-01-24,44.5323
Mauritian rupee,"January 25,2023",44.535400,2023-01-25,44.5354
Mauritian rupee,"January 26,2023",44.601900,2023-01-26,44.6019
Mauritian rupee,"January 27,2023",NA,2023-01-27,NA
Mauritian rupee,"January 30,2023",44.837300,2023-01-30,44.8373
Mauritian rupee,"January 31,2023",44.756300,2023-01-31,44.7563
Mexican peso,"January 03,2023",19.422000,2023-01-03,19.422
Mexican peso,"January 04,2023",19.356800,2023-01-04,19.3568
Mexican peso,"January 05,2023",19.367200,2023-01-05,19.3672
Mexican peso,"January 06,2023",19.175300,2023-01-06,19.1753
Mexican peso,"January 09,2023",19.164800,2023-01-09,19.1648
Mexican peso,"January 10,2023",19.110800,2023-01-10,19.1108
Mexican peso,"January 11,2023",19.026000,2023-01-11,19.026
Mexican peso,"January 12,2023",18.873500,2023-01-12,18.8735
Mexican peso,"January 13,2023",18.792200,2023-01-13,18.7922
Mexican peso,"January 17,2023",18.749300,2023-01-17,18.7493
Mexican peso,"January 18,2023",18.749300,2023-01-18,18.7493
Mexican peso,"January 19,2023",19.032700,2023-01-19,19.0327
Mexican peso,"January 20,2023",18.925700,2023-01-20,18.9257
Mexican peso,"January 23,2023",18.826700,2023-01-23,18.8267
Mexican peso,"January 24,2023",18.831800,2023-01-24,18.8318
Mexican peso,"January 25,2023",18.820000,2023-01-25,18.82
Mexican peso,"January 26,2023",18.835500,2023-01-26,18.8355
Mexican peso,"January 27,2023",18.787200,2023-01-27,18.7872
Mexican peso,"January 30,2023",18.779300,2023-01-30,18.7793
Mexican peso,"January 31,2023",18.793700,2023-01-31,18.7937
New Zealand dollar (1),"January 03,2023",NA,2023-01-03,NA
New Zealand dollar (1),"January 04,2023",0.626150,2023-01-04,0.62615
New Zealand dollar (1),"January 05,2023",0.630200,2023-01-05,0.6302
New Zealand dollar (1),"January 06,2023",0.624400,2023-01-06,0.6244
New Zealand dollar (1),"January 09,2023",0.635900,2023-01-09,0.6359
New Zealand dollar (1),"January 10,2023",0.637000,2023-01-10,0.637
New Zealand dollar (1),"January 11,2023",0.637250,2023-01-11,0.63725
New Zealand dollar (1),"January 12,2023",0.636900,2023-01-12,0.6369
New Zealand dollar (1),"January 13,2023",0.637700,2023-01-13,0.6377
New Zealand dollar (1),"January 17,2023",0.639500,2023-01-17,0.6395
New Zealand dollar (1),"January 18,2023",0.642500,2023-01-18,0.6425
